date,location_reference_id,BOH < Ideal,BOH = Ideal,BOH > Ideal,BOH > Shelf Capacity,OTL > Shelf Capacity,Ideal BOH > Shelf Capacity,Never: Q98 > POG,Never: Ideal BOH > POG,Sometimes: OTL+Casepack-1 > POG,Always: OTL+Casepack-1 <= POG,Non-POG,Backroom_OH,Total OH,Prop OH in Backroom,Demand Fulfilled,Demand,Fill Rate,Inbound,Outbound,BOO,Point_Forecast,DFE_Q98,EOP,BOP,EOH,BOH,OTL,BOH_OOS,EOH_OOS,region
2018-04-27,3277,0.16812103710214074,0.21759055810157574,0.6142884047962835,0.1536819637139808,0.1740850021972503,0.10866972189089083,660,974,1005,13121,177,4188.220007317141,100674.0,0.041601803914785754,12133.389997147024,49775.35994100571,0.2437629785405399,8928.939989315346,12133.389997147024,9487.07999356091,12676.650000799447,49775.35994100571,36811.0,39178.0,87475.95997417532,100674.0,109919.0,0.04005273400715676,0.042626655785046146,NE
2018-04-28,3277,0.19568083369954173,0.22776068805323624,0.5765584782472221,0.14740410571912863,0.17019273024044196,0.10647247159269257,659,937,988,13183,177,3959.5499946642667,97454.0,0.040629938172514896,11782.25999648869,49244.45995140076,0.23926061953195496,9133.07999526523,11782.25999648869,9877.549998790026,12479.5599894654,49244.45995140076,36811.0,39178.0,84826.77998345345,97454.0,108945.0,0.04243832004520058,0.045137798982987004,NE
2018-04-29,3277,0.21319605750517923,0.2127566074455396,0.5740473350492812,0.1431979408625777,0.16253374348672234,0.1027685353757298,590,929,937,13305,181,3891.970005782321,95101.0,0.04092459601668038,11073.429996242747,47996.739968299866,0.23071212760609058,9523.54999849014,11073.429996242747,10528.62999428995,12009.35999606736,47996.739968299866,36813.0,39180.0,83276.89998479187,95101.0,106682.0,0.04143386276602423,0.04488668466319292,NE
2018-04-30,3277,0.19134911168309374,0.2017075773745998,0.6069433109423065,0.13892899742607823,0.15908092158955364,0.09284951974386339,510,859,1025,13360,181,3410.329995408654,94169.0,0.03621499639380958,10162.159993574023,45521.339970588684,0.2232394740607326,10174.629990095273,10162.159993574023,12990.969996532425,10809.839996352792,45521.339970588684,36813.0,39180.0,83289.36998078786,94169.0,105694.0,0.04042940548684789,0.04331722016447988,NE
2018-05-01,3277,0.16931383012116266,0.22826291669282442,0.602423253186013,0.14420239814175403,0.16391487224558982,0.09762069181995103,544,909,1016,13282,184,3586.0500034727156,96849.0,0.037027227988649505,10848.689995596185,46643.299976825714,0.23258838892158692,12832.969996130094,10848.689995596185,10600.449992140755,11304.409996673465,46643.299976825714,36810.0,39177.0,85273.64999477752,96849.0,106728.0,0.012179044510013183,0.013183501789189528,NE
2018-05-02,3277,0.16435432230522945,0.2598405424069308,0.5758051352878398,0.14144014062401908,0.16209429342708268,0.09762069181995103,573,890,978,13311,184,3335.5199895203114,96497.0,0.034566048576850174,11112.500004442409,47135.8199672699,0.23575488900285793,10498.44999476336,11112.500004442409,11562.740000527352,11535.69999494031,47135.8199672699,36810.0,39177.0,84659.6000264585,96497.0,105717.0,0.010609580011300145,0.011927930190219097,NE
2018-05-03,3277,0.12612216711657984,0.23535689622700734,0.6385209366564129,0.14125180488417352,0.16699102266306737,0.09416786992278235,525,867,1124,13233,184,3349.849987016991,96843.0,0.034590522670889905,10146.999999120831,44898.499990940094,0.22599864140602377,11460.740000050515,10146.999999120831,10724.029989153147,10476.019992470741,44898.499990940094,36810.0,39177.0,85973.34002862498,96843.0,107245.0,0.010421244271454579,0.011488480130579447,NE
2018-05-04,3277,0.17552890953606629,0.29336430409944125,0.5311067863644925,0.14244459790319544,0.1734572163977651,0.10722581455207483,660,943,1023,13130,184,3542.19000069052,97340.0,0.03638987056390507,12207.729999965057,49575.43995141983,0.24624552019967358,10622.029988914728,12207.729999965057,11663.73000311479,12640.03999684006,49575.43995141983,36810.0,39177.0,84387.64002251439,97340.0,109520.0,0.008537886872998933,0.00922845125243267,NE
2018-05-05,3277,0.16517044384456023,0.27666520183313453,0.5581643543223053,0.1429468265427836,0.1694393872810597,0.1054052357335677,631,930,1008,13194,184,3663.38999440521,96711.0,0.037879765429012315,11805.389983676374,48745.53995370865,0.24218400278030355,11615.730002637953,11805.389983676374,19335.57000758685,12322.929982917383,48745.53995370865,36810.0,39177.0,84197.97998926044,96711.0,108797.0,0.007031200954234415,0.008349551133153369,NE
2018-05-06,3277,0.06208801556908783,0.2279490237930818,0.7099629606378304,0.15939481448929627,0.16334986502605311,0.10314520685542093,584,939,939,13291,186,4922.629997139797,104266.0,0.04721222639345325,11984.349998883903,48260.579954624176,0.24832585953488112,19287.570009017363,11984.349998883903,11576.339986599982,12115.559999892488,48260.579954624176,36808.0,39175.0,91501.20001959428,104266.0,107072.0,0.0033900433172201643,0.0039550505367568585,NE
